feature_id,Reviewed,Entry.Name,Protein.names,Gene.Names,Organism,Length
P05783,reviewed,K1C18_HUMAN,"Keratin, type I cytoskeletal 18 (Cell proliferation-inducing gene 46 protein) (Cytokeratin-18) (CK-18) (Keratin-18) (K18)",KRT18 CYK18 PIG46,Homo sapiens (Human),430
Q9NQC7,reviewed,CYLD_HUMAN,Ubiquitin carboxyl-terminal hydrolase CYLD (EC 3.4.19.12) (Deubiquitinating enzyme CYLD) (Ubiquitin thioesterase CYLD) (Ubiquitin-specific-processing protease CYLD),CYLD CYLD1 KIAA0849 HSPC057,Homo sapiens (Human),956
Q9P1W3,reviewed,TM63C_HUMAN,Osmosensitive cation channel TMEM63C (Calcium permeable stress-gated cation channel 1) (Transmembrane protein 63C) (hTMEM63C),TMEM63C C14orf171 CSC1,Homo sapiens (Human),806
A6NHQ2,reviewed,FBLL1_HUMAN,RNA 2'-O-methyltransferase FBLL1 (EC 2.1.1.-) (Fibrillarin like 1),FBLL1,Homo sapiens (Human),334
P14415,reviewed,AT1B2_HUMAN,Sodium/potassium-transporting ATPase subunit beta-2 (Adhesion molecule in glia) (AMOG) (Sodium/potassium-dependent ATPase subunit beta-2),ATP1B2,Homo sapiens (Human),290
Q8NB16,reviewed,MLKL_HUMAN,Mixed lineage kinase domain-like protein (hMLKL),MLKL,Homo sapiens (Human),471
Q5T8D3,reviewed,ACBD5_HUMAN,Acyl-CoA-binding domain-containing protein 5,ACBD5 KIAA1996,Homo sapiens (Human),534
Q99497,reviewed,PARK7_HUMAN,"Parkinson disease protein 7 (Maillard deglycase) (Oncogene DJ1) (Parkinsonism-associated deglycase) (Protein DJ-1) (DJ-1) (Protein/nucleic acid deglycase DJ-1) (EC 3.1.2.-, EC 3.5.1.-, EC 3.5.1.124)",PARK7,Homo sapiens (Human),189
Q9Y624,reviewed,JAM1_HUMAN,Junctional adhesion molecule A (JAM-A) (Junctional adhesion molecule 1) (JAM-1) (Platelet F11 receptor) (Platelet adhesion molecule 1) (PAM-1) (CD antigen CD321),F11R JAM1 JCAM UNQ264/PRO301,Homo sapiens (Human),299
P07478,reviewed,TRY2_HUMAN,Trypsin-2 (EC 3.4.21.4) (Anionic trypsinogen) (Serine protease 2) (Trypsin II),PRSS2 TRY2 TRYP2,Homo sapiens (Human),247
P82921,reviewed,RT21_HUMAN,"Small ribosomal subunit protein bS21m (28S ribosomal protein S21, mitochondrial) (MRP-S21) (S21mt)",MRPS21 RPMS21 MDS016,Homo sapiens (Human),87
Q96G21,reviewed,IMP4_HUMAN,U3 small nucleolar ribonucleoprotein protein IMP4 (U3 snoRNP protein IMP4) (Brix domain-containing protein 4),IMP4 BXDC4,Homo sapiens (Human),291
Q96QG7,reviewed,MTMR9_HUMAN,Myotubularin-related protein 9 (Inactive phosphatidylinositol 3-phosphatase 9),MTMR9 C8orf9 MTMR8,Homo sapiens (Human),549
Q5JS37,reviewed,NHLC3_HUMAN,NHL repeat-containing protein 3,NHLRC3,Homo sapiens (Human),347
Q13405,reviewed,RM49_HUMAN,"Large ribosomal subunit protein mL49 (39S ribosomal protein L49, mitochondrial) (L49mt) (MRP-L49) (Neighbor of FAU) (NOF) (Protein NOF1)",MRPL49 C11orf4 NOF1 OK/SW-cl.67,Homo sapiens (Human),166
Q13835,reviewed,PKP1_HUMAN,Plakophilin-1 (Band 6 protein) (B6P),PKP1,Homo sapiens (Human),747
Q9UPR0,reviewed,PLCL2_HUMAN,Inactive phospholipase C-like protein 2 (PLC-L(2)) (PLC-L2) (Phospholipase C-L2) (Phospholipase C-epsilon-2) (PLC-epsilon-2),PLCL2 KIAA1092 PLCE2,Homo sapiens (Human),1127
P50213,reviewed,IDH3A_HUMAN,"Isocitrate dehydrogenase [NAD] subunit alpha, mitochondrial (EC 1.1.1.41) (Isocitric dehydrogenase subunit alpha) (NAD(+)-specific ICDH subunit alpha)",IDH3A,Homo sapiens (Human),366
Q9P2T1,reviewed,GMPR2_HUMAN,GMP reductase 2 (GMPR 2) (EC 1.7.1.7) (Guanosine 5'-monophosphate oxidoreductase 2) (Guanosine monophosphate reductase 2),GMPR2,Homo sapiens (Human),348
Q8WUR7,reviewed,CO040_HUMAN,UPF0235 protein C15orf40,C15orf40,Homo sapiens (Human),153
O75879,reviewed,GATB_HUMAN,"Glutamyl-tRNA(Gln) amidotransferase subunit B, mitochondrial (Glu-AdT subunit B) (EC 6.3.5.-) (Cytochrome c oxidase assembly factor PET112 homolog)",GATB PET112 PET112L HSPC199,Homo sapiens (Human),557
P51452,reviewed,DUS3_HUMAN,Dual specificity protein phosphatase 3 (EC 3.1.3.16) (EC 3.1.3.48) (Dual specificity protein phosphatase VHR) (Vaccinia H1-related phosphatase) (VHR),DUSP3 VHR,Homo sapiens (Human),185
Q96A49,reviewed,SYAP1_HUMAN,Synapse-associated protein 1 (BSD domain-containing signal transducer and Akt interactor protein) (BSTA),SYAP1 PRO3113,Homo sapiens (Human),352
Q14165,reviewed,MLEC_HUMAN,Malectin,MLEC KIAA0152,Homo sapiens (Human),292
Q8WU90,reviewed,ZC3HF_HUMAN,Zinc finger CCCH domain-containing protein 15 (DRG family-regulatory protein 1) (Likely ortholog of mouse immediate early response erythropoietin 4),ZC3H15 DFRP1 LEREPO4 HSPC303 HT010 MSTP012 PP730,Homo sapiens (Human),426
Q9Y5P6,reviewed,GMPPB_HUMAN,Mannose-1-phosphate guanylyltransferase catalytic subunit beta (EC 2.7.7.13) (GDP-mannose pyrophosphorylase B) (GTP-mannose-1-phosphate guanylyltransferase beta),GMPPB,Homo sapiens (Human),360
Q8TB37,reviewed,NUBPL_HUMAN,Iron-sulfur cluster transfer protein NUBPL (IND1 homolog) (Nucleotide-binding protein-like) (huInd1),NUBPL C14orf127,Homo sapiens (Human),319
Q9NZC7,reviewed,WWOX_HUMAN,WW domain-containing oxidoreductase (EC 1.1.1.-) (Fragile site FRA16D oxidoreductase) (Short chain dehydrogenase/reductase family 41C member 1),WWOX FOR SDR41C1 WOX1,Homo sapiens (Human),414
O75674,reviewed,TM1L1_HUMAN,TOM1-like protein 1 (Src-activating and signaling molecule protein) (Target of Myb-like protein 1),TOM1L1 SRCASM,Homo sapiens (Human),476
Q9H9A6,reviewed,LRC40_HUMAN,Leucine-rich repeat-containing protein 40,LRRC40,Homo sapiens (Human),602
Q8NE71,reviewed,ABCF1_HUMAN,ATP-binding cassette sub-family F member 1 (ATP-binding cassette 50) (TNF-alpha-stimulated ABC protein),ABCF1 ABC50,Homo sapiens (Human),845
Q9H0U4,reviewed,RAB1B_HUMAN,Ras-related protein Rab-1B (EC 3.6.5.2),RAB1B,Homo sapiens (Human),201
Q2M389,reviewed,WASC4_HUMAN,WASH complex subunit 4 (Strumpellin and WASH-interacting protein) (SWIP) (WASH complex subunit SWIP),WASHC4 KIAA1033,Homo sapiens (Human),1173
Q8IXB1,reviewed,DJC10_HUMAN,Endoplasmic reticulum disulfide reductase DNAJC10 (EC 1.8.4.2) (DnaJ homolog subfamily C member 10) (Endoplasmic reticulum DNA J domain-containing protein 5) (ER-resident protein ERdj5) (Macrothioredoxin) (MTHr),DNAJC10 ERDJ5 UNQ495/PRO1012,Homo sapiens (Human),793
Q6P2E9,reviewed,EDC4_HUMAN,Enhancer of mRNA-decapping protein 4 (Autoantigen Ge-1) (Autoantigen RCD-8) (Human enhancer of decapping large subunit) (Hedls),EDC4 HEDLS,Homo sapiens (Human),1401
Q96HU1,reviewed,SGSM3_HUMAN,Small G protein signaling modulator 3 (Merlin-associated protein) (RUN and TBC1 domain-containing protein 3) (Rab-GTPase-activating protein-like protein) (RabGAPLP) (RabGAP-5),SGSM3 MAP RABGAPLP RUTBC3,Homo sapiens (Human),749
O43760,reviewed,SNG2_HUMAN,Synaptogyrin-2 (Cellugyrin),SYNGR2 UNQ352/PRO615,Homo sapiens (Human),224
Q9P016,reviewed,THYN1_HUMAN,Thymocyte nuclear protein 1 (Thymocyte protein Thy28),THYN1 THY28 HSPC144 MDS012 My0054,Homo sapiens (Human),225
Q9H6U8,reviewed,ALG9_HUMAN,"Alpha-1,2-mannosyltransferase ALG9 (EC 2.4.1.259) (EC 2.4.1.261) (Asparagine-linked glycosylation protein 9 homolog) (Disrupted in bipolar disorder protein 1) (Dol-P-Man:Man(6)GlcNAc(2)-PP-Dol alpha-1,2-mannosyltransferase) (Dol-P-Man:Man(8)GlcNAc(2)-PP-Dol alpha-1,2-mannosyltransferase)",ALG9 DIBD1,Homo sapiens (Human),611
P82933,reviewed,RT09_HUMAN,"Small ribosomal subunit protein uS9m (28S ribosomal protein S9, mitochondrial) (MRP-S9) (S9mt)",MRPS9 RPMS9,Homo sapiens (Human),396
Q9BS40,reviewed,LXN_HUMAN,Latexin (Endogenous carboxypeptidase inhibitor) (ECI) (Protein MUM) (Tissue carboxypeptidase inhibitor) (TCI),LXN,Homo sapiens (Human),222
Q9H1C7,reviewed,CYTM1_HUMAN,Cysteine-rich transmembrane module-containing protein 1,CYSTM1 C5orf32 ORF1-FL49,Homo sapiens (Human),97
O60313,reviewed,OPA1_HUMAN,"Dynamin-like GTPase OPA1, mitochondrial (EC 3.6.5.5) (Optic atrophy protein 1) [Cleaved into: Dynamin-like GTPase OPA1, long form (L-OPA1); Dynamin-like GTPase OPA1, short form (S-OPA1)]",OPA1 KIAA0567,Homo sapiens (Human),960
Q9Y2C3,reviewed,B3GT5_HUMAN,"Beta-1,3-galactosyltransferase 5 (Beta-1,3-GalTase 5) (Beta3Gal-T5) (Beta3GalT5) (b3Gal-T5) (EC 2.4.1.-) (Beta-3-Gx-T5) (UDP-Gal:beta-GlcNAc beta-1,3-galactosyltransferase 5) (UDP-galactose:beta-N-acetylglucosamine beta-1,3-galactosyltransferase 5)",B3GALT5,Homo sapiens (Human),310
O60762,reviewed,DPM1_HUMAN,Dolichol-phosphate mannosyltransferase subunit 1 (EC 2.4.1.83) (Dolichol-phosphate mannose synthase subunit 1) (DPM synthase subunit 1) (Dolichyl-phosphate beta-D-mannosyltransferase subunit 1) (Mannose-P-dolichol synthase subunit 1) (MPD synthase subunit 1),DPM1,Homo sapiens (Human),260
A4D126,reviewed,ISPD_HUMAN,D-ribitol-5-phosphate cytidylyltransferase (EC 2.7.7.40) (2-C-methyl-D-erythritol 4-phosphate cytidylyltransferase-like protein) (Isoprenoid synthase domain-containing protein) (hISPD),CRPPA ISPD,Homo sapiens (Human),451
Q14999,reviewed,CUL7_HUMAN,Cullin-7 (CUL-7),CUL7 KIAA0076,Homo sapiens (Human),1698
Q9Y2H0,reviewed,DLGP4_HUMAN,Disks large-associated protein 4 (DAP-4) (PSD-95/SAP90-binding protein 4) (SAP90/PSD-95-associated protein 4) (SAPAP-4),DLGAP4 DAP4 KIAA0964 SAPAP4,Homo sapiens (Human),992
Q9BRK0,reviewed,REEP2_HUMAN,Receptor expression-enhancing protein 2,REEP2 C5orf19 SGC32445,Homo sapiens (Human),252
Q8TDX6,reviewed,CGAT1_HUMAN,"Chondroitin sulfate N-acetylgalactosaminyltransferase 1 (CsGalNAcT-1) (EC 2.4.1.174) (Chondroitin beta-1,4-N-acetylgalactosaminyltransferase 1) (Beta4GalNAcT-1)",CSGALNACT1 CHGN GALNACT1 UNQ656/PRO1287,Homo sapiens (Human),532
Q5SW96,reviewed,ARH_HUMAN,Low density lipoprotein receptor adapter protein 1 (Autosomal recessive hypercholesterolemia protein),LDLRAP1 ARH,Homo sapiens (Human),308
Q53R41,reviewed,FAKD1_HUMAN,"FAST kinase domain-containing protein 1, mitochondrial",FASTKD1 KIAA1800,Homo sapiens (Human),847
P35754,reviewed,GLRX1_HUMAN,Glutaredoxin-1 (Thioltransferase-1) (TTase-1),GLRX GRX,Homo sapiens (Human),106
P49590,reviewed,SYHM_HUMAN,"Histidine--tRNA ligase, mitochondrial (EC 6.1.1.21) (Histidine--tRNA ligase-like) (Histidyl-tRNA synthetase) (HisRS)",HARS2 HARSL HARSR HO3,Homo sapiens (Human),506
Q9NWU5,reviewed,RM22_HUMAN,"Large ribosomal subunit protein uL22m (39S ribosomal protein L22, mitochondrial) (L22mt) (MRP-L22) (39S ribosomal protein L25, mitochondrial) (L25mt) (MRP-L25)",MRPL22 MRPL25 RPML25 HSPC158,Homo sapiens (Human),206
Q12768,reviewed,WASC5_HUMAN,WASH complex subunit 5 (Strumpellin) (WASH complex subunit strumpellin),WASHC5 KIAA0196,Homo sapiens (Human),1159
P51513,reviewed,NOVA1_HUMAN,RNA-binding protein Nova-1 (Neuro-oncological ventral antigen 1) (Onconeural ventral antigen 1) (Paraneoplastic Ri antigen) (Ventral neuron-specific protein 1),NOVA1,Homo sapiens (Human),507
Q9Y3Z3,reviewed,SAMH1_HUMAN,Deoxynucleoside triphosphate triphosphohydrolase SAMHD1 (dNTPase) (EC 3.1.5.-) (Dendritic cell-derived IFNG-induced protein) (DCIP) (Monocyte protein 5) (MOP-5) (SAM domain and HD domain-containing protein 1) (hSAMHD1),SAMHD1 MOP5,Homo sapiens (Human),626
Q9BXC9,reviewed,BBS2_HUMAN,BBSome complex member BBS2 (Bardet-Biedl syndrome 2 protein),BBS2,Homo sapiens (Human),721
P62280,reviewed,RS11_HUMAN,Small ribosomal subunit protein uS17 (40S ribosomal protein S11),RPS11,Homo sapiens (Human),158
Q15370,reviewed,ELOB_HUMAN,Elongin-B (EloB) (Elongin 18 kDa subunit) (RNA polymerase II transcription factor SIII subunit B) (SIII p18) (Transcription elongation factor B polypeptide 2),ELOB TCEB2,Homo sapiens (Human),118
O75208,reviewed,COQ9_HUMAN,"Ubiquinone biosynthesis protein COQ9, mitochondrial",COQ9 C16orf49 HSPC326 PSEC0129,Homo sapiens (Human),318
P55210,reviewed,CASP7_HUMAN,Caspase-7 (CASP-7) (EC 3.4.22.60) (Apoptotic protease Mch-3) (CMH-1) (ICE-like apoptotic protease 3) (ICE-LAP3) [Cleaved into: Caspase-7 subunit p20; Caspase-7 subunit p11],CASP7 MCH3,Homo sapiens (Human),303
Q15057,reviewed,ACAP2_HUMAN,"Arf-GAP with coiled-coil, ANK repeat and PH domain-containing protein 2 (Centaurin-beta-2) (Cnt-b2)",ACAP2 CENTB2 KIAA0041,Homo sapiens (Human),778
Q92665,reviewed,RT31_HUMAN,"Small ribosomal subunit protein mS31 (28S ribosomal protein S31, mitochondrial) (MRP-S31) (S31mt) (Imogen 38)",MRPS31 IMOGN38,Homo sapiens (Human),395
Q8TEA8,reviewed,DTD1_HUMAN,D-aminoacyl-tRNA deacylase 1 (DTD) (EC 3.1.1.96) (DNA-unwinding element-binding protein B) (DUE-B) (Gly-tRNA(Ala) deacylase) (Histidyl-tRNA synthase-related),DTD1 C20orf88 DUEB HARS2,Homo sapiens (Human),209
Q96KC8,reviewed,DNJC1_HUMAN,DnaJ homolog subfamily C member 1 (DnaJ protein homolog MTJ1),DNAJC1 HTJ1,Homo sapiens (Human),554
Q96IG2,reviewed,FXL20_HUMAN,F-box/LRR-repeat protein 20 (F-box and leucine-rich repeat protein 20) (F-box/LRR-repeat protein 2-like),FBXL20 FBL2,Homo sapiens (Human),436
P21399,reviewed,ACOHC_HUMAN,Cytoplasmic aconitate hydratase (Aconitase) (EC 4.2.1.3) (Citrate hydro-lyase) (Ferritin repressor protein) (Iron regulatory protein 1) (IRP1) (Iron-responsive element-binding protein 1) (IRE-BP 1),ACO1 IREB1,Homo sapiens (Human),889
P18124,reviewed,RL7_HUMAN,Large ribosomal subunit protein uL30 (60S ribosomal protein L7),RPL7,Homo sapiens (Human),248
Q9ULR0,reviewed,ISY1_HUMAN,Pre-mRNA-splicing factor ISY1 homolog,ISY1 KIAA1160,Homo sapiens (Human),285
P51649,reviewed,SSDH_HUMAN,"Succinate-semialdehyde dehydrogenase, mitochondrial (EC 1.2.1.24) (Aldehyde dehydrogenase family 5 member A1) (NAD(+)-dependent succinic semialdehyde dehydrogenase)",ALDH5A1 SSADH,Homo sapiens (Human),535
O43325,reviewed,LYRM1_HUMAN,LYR motif-containing protein 1,LYRM1,Homo sapiens (Human),122
Q9NQ88,reviewed,TIGAR_HUMAN,"Fructose-2,6-bisphosphatase TIGAR (EC 3.1.3.46) (TP53-induced glycolysis and apoptosis regulator) (TP53-induced glycolysis regulatory phosphatase)",TIGAR C12orf5,Homo sapiens (Human),270
P09093,reviewed,CEL3A_HUMAN,Chymotrypsin-like elastase family member 3A (EC 3.4.21.70) (Elastase IIIA) (Elastase-3A) (Protease E),CELA3A ELA3 ELA3A,Homo sapiens (Human),270
Q9Y6G9,reviewed,DC1L1_HUMAN,"Cytoplasmic dynein 1 light intermediate chain 1 (LIC1) (Dynein light chain A) (DLC-A) (Dynein light intermediate chain 1, cytosolic) (DLIC-1)",DYNC1LI1 DNCLI1,Homo sapiens (Human),523
Q8NHP8,reviewed,PLBL2_HUMAN,Putative aminopeptidase PLBD2 (EC 3.4.11.-) (76 kDa protein) (p76) (LAMA-like protein 2) (Lamina ancestor homolog 2) (Phospholipase B domain-containing protein 2) [Cleaved into: Putative aminopeptidase PLBD2 32 kDa form; Putative aminopeptidase PLBD2 45 kDa form],PLBD2,Homo sapiens (Human),589
Q8N142,reviewed,PURA1_HUMAN,"Adenylosuccinate synthetase isozyme 1 (AMPSase 1) (AdSS 1) (EC 6.3.4.4) (Adenylosuccinate synthetase, basic isozyme) (Adenylosuccinate synthetase, muscle isozyme) (M-type adenylosuccinate synthetase) (Adenylosuccinate synthetase-like 1) (AdSSL1) (IMP--aspartate ligase 1)",ADSS1 ADSSL1,Homo sapiens (Human),457
Q96GQ5,reviewed,RUSF1_HUMAN,RUS family member 1,RUSF1 C16orf58,Homo sapiens (Human),468
Q9BZQ6,reviewed,EDEM3_HUMAN,"ER degradation-enhancing alpha-mannosidase-like protein 3 (EC 3.2.1.113) (Alpha-1,2-mannosidase EDEM3)",EDEM3 C1orf22,Homo sapiens (Human),932
Q9H7E2,reviewed,TDRD3_HUMAN,Tudor domain-containing protein 3,TDRD3,Homo sapiens (Human),651
P63096,reviewed,GNAI1_HUMAN,Guanine nucleotide-binding protein G(i) subunit alpha-1 (EC 3.6.5.-) (Adenylate cyclase-inhibiting G alpha protein),GNAI1,Homo sapiens (Human),354
Q9UNF0,reviewed,PACN2_HUMAN,Protein kinase C and casein kinase substrate in neurons protein 2 (Syndapin-2) (Syndapin-II) (SdpII),PACSIN2,Homo sapiens (Human),486
P46940,reviewed,IQGA1_HUMAN,Ras GTPase-activating-like protein IQGAP1 (p195),IQGAP1 KIAA0051,Homo sapiens (Human),1657
Q14BN4,reviewed,SLMAP_HUMAN,Sarcolemmal membrane-associated protein (Sarcolemmal-associated protein),SLMAP KIAA1601 SLAP UNQ1847/PRO3577,Homo sapiens (Human),828
O95674,reviewed,CDS2_HUMAN,Phosphatidate cytidylyltransferase 2 (EC 2.7.7.41) (CDP-DAG synthase 2) (CDP-DG synthase 2) (CDP-diacylglycerol synthase 2) (CDS 2) (CDP-diglyceride pyrophosphorylase 2) (CDP-diglyceride synthase 2) (CTP:phosphatidate cytidylyltransferase 2),CDS2,Homo sapiens (Human),445
O43505,reviewed,B4GA1_HUMAN,"Beta-1,4-glucuronyltransferase 1 (EC 2.4.1.-) (I-beta-1,3-N-acetylglucosaminyltransferase) (iGnT) (N-acetyllactosaminide beta-1,3-N-acetylglucosaminyltransferase) (Poly-N-acetyllactosamine extension enzyme) (UDP-GlcNAc:betaGal beta-1,3-N-acetylglucosaminyltransferase 1)",B4GAT1 B3GNT1 B3GNT6,Homo sapiens (Human),415
Q9GZT6,reviewed,CC90B_HUMAN,"Coiled-coil domain-containing protein 90B, mitochondrial",CCDC90B CUA003 MDS011 MDS025,Homo sapiens (Human),254
Q9Y5M8,reviewed,SRPRB_HUMAN,Signal recognition particle receptor subunit beta (SR-beta) (Protein APMCF1),SRPRB PSEC0230,Homo sapiens (Human),271
P78383,reviewed,S35B1_HUMAN,Solute carrier family 35 member B1 (ATP/ADP exchanger ER) (AXER) (Endoplasmic reticulum ATP/ADP translocase) (UDP-galactose transporter-related protein 1) (UGTrel1),SLC35B1 UGTREL1,Homo sapiens (Human),322
Q14320,reviewed,FA50A_HUMAN,Protein FAM50A (Protein HXC-26) (Protein XAP-5),FAM50A DXS9928E HXC26 XAP5,Homo sapiens (Human),339
Q9HB21,reviewed,PKHA1_HUMAN,Pleckstrin homology domain-containing family A member 1 (PH domain-containing family A member 1) (Tandem PH domain-containing protein 1) (TAPP-1),PLEKHA1 TAPP1,Homo sapiens (Human),404
Q96AY4,reviewed,TTC28_HUMAN,Tetratricopeptide repeat protein 28 (TPR repeat protein 28) (TPR repeat-containing big gene cloned at Keio),TTC28 KIAA1043 TPRBK,Homo sapiens (Human),2481
Q5T2E6,reviewed,ARMD3_HUMAN,Armadillo-like helical domain-containing protein 3,ARMH3 C10orf76,Homo sapiens (Human),689
Q9H0P0,reviewed,5NT3A_HUMAN,Cytosolic 5'-nucleotidase 3A (EC 3.1.3.5) (7-methylguanosine phosphate-specific 5'-nucleotidase) (7-methylguanosine nucleotidase) (EC 3.1.3.91) (Cytosolic 5'-nucleotidase 3) (Cytosolic 5'-nucleotidase III) (cN-III) (Pyrimidine 5'-nucleotidase 1) (P5'N-1) (P5N-1) (PN-I) (Uridine 5'-monophosphate hydrolase 1) (p36),NT5C3A NT5C3 P5N1 UMPH1 HSPC233,Homo sapiens (Human),336
P08571,reviewed,CD14_HUMAN,"Monocyte differentiation antigen CD14 (My23 antigen) (Myeloid cell-specific leucine-rich glycoprotein) (CD antigen CD14) [Cleaved into: Monocyte differentiation antigen CD14, urinary form; Monocyte differentiation antigen CD14, membrane-bound form]",CD14,Homo sapiens (Human),375
Q6F5E8,reviewed,CARL2_HUMAN,"Capping protein, Arp2/3 and myosin-I linker protein 2 (Capping protein regulator and myosin 1 linker 2) (F-actin-uncapping protein RLTPR) (Leucine-rich repeat-containing protein 16C) (RGD, leucine-rich repeat, tropomodulin and proline-rich-containing protein)",CARMIL2 LRRC16C RLTPR,Homo sapiens (Human),1435
P19835,reviewed,CEL_HUMAN,Bile salt-activated lipase (BAL) (EC 3.1.1.13) (EC 3.1.1.3) (EC 3.1.1.6) (Bile salt-stimulated lipase) (BSSL) (Bucelipase) (Carboxyl ester lipase) (Cholesterol esterase) (Pancreatic lysophospholipase) (Sterol esterase),CEL BAL,Homo sapiens (Human),753
P04040,reviewed,CATA_HUMAN,Catalase (EC 1.11.1.6),CAT,Homo sapiens (Human),527
P52597,reviewed,HNRPF_HUMAN,"Heterogeneous nuclear ribonucleoprotein F (hnRNP F) (Nucleolin-like protein mcs94-1) [Cleaved into: Heterogeneous nuclear ribonucleoprotein F, N-terminally processed]",HNRNPF HNRPF,Homo sapiens (Human),415
P15882,reviewed,CHIN_HUMAN,N-chimaerin (A-chimaerin) (Alpha-chimerin) (N-chimerin) (NC) (Rho GTPase-activating protein 2),CHN1 ARHGAP2 CHN,Homo sapiens (Human),459
Q8TCG2,reviewed,P4K2B_HUMAN,Phosphatidylinositol 4-kinase type 2-beta (EC 2.7.1.67) (Phosphatidylinositol 4-kinase type II-beta) (PI4KII-BETA),PI4K2B,Homo sapiens (Human),481
P98196,reviewed,AT11A_HUMAN,Phospholipid-transporting ATPase IH (EC 7.6.2.1) (ATPase IS) (ATPase class VI type 11A) (P4-ATPase flippase complex alpha subunit ATP11A),ATP11A ATPIH ATPIS KIAA1021,Homo sapiens (Human),1134
Q8NHP6,reviewed,MSPD2_HUMAN,Motile sperm domain-containing protein 2,MOSPD2,Homo sapiens (Human),518
O75379,reviewed,VAMP4_HUMAN,Vesicle-associated membrane protein 4 (VAMP-4),VAMP4,Homo sapiens (Human),141
Q8IWB7,reviewed,WDFY1_HUMAN,WD repeat and FYVE domain-containing protein 1 (FYVE domain-containing protein localized to endosomes 1) (FENS-1) (Phosphoinositide-binding protein 1) (WD40- and FYVE domain-containing protein 1) (Zinc finger FYVE domain-containing protein 17),WDFY1 FENS1 KIAA1435 WDF1 ZFYVE17,Homo sapiens (Human),410
P09417,reviewed,DHPR_HUMAN,Dihydropteridine reductase (EC 1.5.1.34) (HDHPR) (Quinoid dihydropteridine reductase) (Short chain dehydrogenase/reductase family 33C member 1),QDPR DHPR SDR33C1,Homo sapiens (Human),244
Q5BJH7,reviewed,YIF1B_HUMAN,Protein YIF1B (YIP1-interacting factor homolog B),YIF1B PP4519 UNQ3073/PRO9905,Homo sapiens (Human),314
Q9UP65,reviewed,PA24C_HUMAN,Cytosolic phospholipase A2 gamma (cPLA2-gamma) (EC 3.1.1.4) (Cytosolic lysophospholipase) (EC 3.1.1.5) (Cytosolic lysophospholipid O-acyltransferase) (EC 2.3.1.-) (Phospholipase A2 group IVC),PLA2G4C,Homo sapiens (Human),541
P07477,reviewed,TRY1_HUMAN,Serine protease 1 (EC 3.4.21.4) (Anionic trypsin I) (Anionic trypsin-I) (Beta-trypsin) (Cationic trypsinogen) (Pretrypsinogen I) (Trypsin I) (Trypsin-1) [Cleaved into: Alpha-trypsin chain 1; Alpha-trypsin chain 2],PRSS1 TRP1 TRY1 TRYP1,Homo sapiens (Human),247
O15079,reviewed,SNPH_HUMAN,Syntaphilin,SNPH KIAA0374,Homo sapiens (Human),494
Q9Y3R5,reviewed,DOP1B_HUMAN,Protein DOP1B,DOP1B C21orf5 DOPEY2 KIAA0933,Homo sapiens (Human),2298
O75663,reviewed,TIPRL_HUMAN,TIP41-like protein (Putative MAPK-activating protein PM10) (Type 2A-interacting protein) (TIP),TIPRL,Homo sapiens (Human),272
Q6P1Q0,reviewed,LTMD1_HUMAN,LETM1 domain-containing protein 1 (Cervical cancer 1 proto-oncogene protein p40) (Cervical cancer proto-oncogene 2 protein) (HCCR-1) (HCRR-2),LETMD1,Homo sapiens (Human),360
Q7L5N1,reviewed,CSN6_HUMAN,COP9 signalosome complex subunit 6 (SGN6) (Signalosome subunit 6) (JAB1-containing signalosome subunit 6) (MOV34 homolog) (Vpr-interacting protein) (hVIP),COPS6 CSN6 HVIP,Homo sapiens (Human),327
P13073,reviewed,COX41_HUMAN,"Cytochrome c oxidase subunit 4 isoform 1, mitochondrial (Cytochrome c oxidase polypeptide IV) (Cytochrome c oxidase subunit IV isoform 1) (COX IV-1)",COX4I1 COX4,Homo sapiens (Human),169
Q9HA92,reviewed,RSAD1_HUMAN,"Radical S-adenosyl methionine domain-containing protein 1, mitochondrial (Putative heme chaperone)",RSAD1,Homo sapiens (Human),442
Q8WWH5,reviewed,TRUB1_HUMAN,Pseudouridylate synthase TRUB1 (EC 5.4.99.-) (TruB pseudouridine synthase homolog 1) (tRNA pseudouridine 55 synthase TRUB1) (Psi55 synthase TRUB1) (EC 5.4.99.25),TRUB1 PUS4,Homo sapiens (Human),349
Q15257,reviewed,PTPA_HUMAN,"Serine/threonine-protein phosphatase 2A activator (EC 5.2.1.8) (PP2A, subunit B', PR53 isoform) (Phosphotyrosyl phosphatase activator) (PTPA) (Serine/threonine-protein phosphatase 2A regulatory subunit 4) (Serine/threonine-protein phosphatase 2A regulatory subunit B')",PTPA PPP2R4,Homo sapiens (Human),358
Q05193,reviewed,DYN1_HUMAN,Dynamin-1 (EC 3.6.5.5) (Dynamin) (Dynamin I),DNM1 DNM,Homo sapiens (Human),864
O15357,reviewed,SHIP2_HUMAN,"Phosphatidylinositol 3,4,5-trisphosphate 5-phosphatase 2 (EC 3.1.3.86) (Inositol polyphosphate phosphatase-like protein 1) (INPPL-1) (Protein 51C) (SH2 domain-containing inositol 5'-phosphatase 2) (SH2 domain-containing inositol phosphatase 2) (SHIP-2)",INPPL1 SHIP2,Homo sapiens (Human),1258
P84157,reviewed,MXRA7_HUMAN,Matrix-remodeling-associated protein 7,MXRA7,Homo sapiens (Human),204
